
################################ SETTINGS ###################################
#RUN ID: 1529581511.634093
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 955.0, 27141.204853811705)
AP:100
x:-423.64323335510755, y:-471.8951867456977, type:0, wire:51
x:334.92772262592575, y:-268.1990690518885, type:0, wire:85
x:-422.22648932671245, y:-55.55930104542358, type:0, wire:49
x:452.805247070142, y:40.29317214831224, type:0, wire:71
x:-160.59356990055858, y:360.8401316749577, type:1, wire:101
x:351.94584220149346, y:-123.38692828475284, type:0, wire:7
x:-100.91120445025894, y:-184.57664026128396, type:0, wire:46
x:-170.45998566221317, y:410.64375637144553, type:0, wire:101
x:16.62149733617121, y:283.6997700783106, type:1, wire:41
x:422.9454195819734, y:75.97630545728208, type:0, wire:86
x:420.3294910811762, y:-478.5110224707377, type:0, wire:80
x:235.9397292705542, y:-225.12609710003278, type:0, wire:7
x:95.30492524620928, y:53.174662348270495, type:0, wire:85
x:-6.17232276419719, y:-292.2831457972966, type:0, wire:0
x:196.8799555613158, y:493.98605171777854, type:1, wire:10
x:-174.563006224518, y:-138.99828025392628, type:1, wire:-1
x:-210.4511627460665, y:149.36266925440245, type:0, wire:101
x:-259.6594765531633, y:282.0097872537763, type:0, wire:43
x:247.3572544058865, y:488.40441915071045, type:0, wire:100
x:78.0871800616591, y:-32.979150968089726, type:0, wire:86
x:-49.106981711699746, y:241.45687322471878, type:0, wire:73
x:205.4469980928857, y:-156.92778276506954, type:0, wire:2
x:-372.8958943207051, y:-161.50899658569756, type:0, wire:5
x:-17.813620538889808, y:-409.2982875056662, type:0, wire:51
x:195.04630451817582, y:-277.03568641358424, type:0, wire:71
x:65.21216730953577, y:250.0761563096812, type:0, wire:43
x:81.93966513107199, y:4.656523618782566, type:0, wire:5
x:-94.3943440301682, y:40.94735690596809, type:0, wire:86
x:317.16812288565376, y:157.3898747291367, type:0, wire:0
x:105.38637658411255, y:-58.00907213285153, type:0, wire:26
x:-49.856411766931146, y:339.08848319269964, type:0, wire:73
x:271.3447120996667, y:12.556537133174766, type:0, wire:0
x:-440.6359808483536, y:16.932053479888932, type:1, wire:43
x:215.08717348433154, y:276.27164112590793, type:1, wire:62
x:-5.396980402867982, y:-426.6864366675555, type:0, wire:0
x:123.37550191053445, y:-274.8167970319348, type:0, wire:43
x:321.96691363186324, y:-117.20242064495659, type:0, wire:85
x:-256.5832692015124, y:-147.24959624013437, type:1, wire:26
x:73.10302213608634, y:208.04469448334567, type:1, wire:9
x:120.10709091812998, y:101.9239904765846, type:0, wire:86
x:70.84921779952013, y:135.5183485084196, type:0, wire:43
x:-251.2530135421245, y:-287.2249491821378, type:1, wire:49
x:-397.9820781834012, y:-142.8917842784257, type:0, wire:27
IND:2
#fitness: 	(0.995, 995.0, 26195.979249949665)
AP:100
x:188.66500522889035, y:-154.70461953798903, type:0, wire:43
x:-150.8448617398821, y:372.228915925777, type:1, wire:75
x:-99.82835690863567, y:-415.67328963109804, type:1, wire:100
x:518.0134211257566, y:-52.89367164266724, type:0, wire:42
x:35.78427819969545, y:-20.806524995889184, type:0, wire:0
x:244.55141501482595, y:130.40150182032465, type:0, wire:43
x:286.3282594669232, y:-486.21872141905357, type:0, wire:38
x:329.78275203852724, y:-176.78174830422273, type:1, wire:43
x:27.037155826714216, y:-374.81222884250093, type:0, wire:20
x:-310.58375178815436, y:87.03744566820356, type:0, wire:101
