
################################ SETTINGS ###################################
#RUN ID: 1529578130.127105
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 935.0, 28988.695223881146)
AP:84
x:241.1503966776242, y:-235.32046836991623, type:0, wire:40
x:172.29542229238993, y:-309.82157217440795, type:1, wire:98
x:215.75151305767446, y:94.18276229759772, type:0, wire:18
x:196.47539683137785, y:-355.8022949004773, type:1, wire:71
x:377.5840612482808, y:-120.11171163334836, type:0, wire:4
x:30.411492756138855, y:145.24029720308783, type:0, wire:21
x:443.26045179072014, y:187.49857211324843, type:0, wire:44
x:162.6513870449965, y:277.8485604717872, type:1, wire:21
x:-469.4147852696076, y:242.85598335816707, type:0, wire:68
x:-95.71630755119858, y:190.81606465529455, type:1, wire:22
x:-107.86554049590548, y:332.35665313833226, type:0, wire:93
x:-210.0004066909886, y:448.6989787596093, type:0, wire:70
x:-406.7809295251483, y:-75.5271291815618, type:0, wire:3
x:-258.56722219065796, y:-128.00981933265498, type:0, wire:47
x:-438.0886319546314, y:79.15926609424072, type:1, wire:93
x:-474.20729231670737, y:6.803804328735396, type:0, wire:47
x:58.90224154652665, y:108.25884974361242, type:0, wire:47
x:148.27642245854577, y:95.03896876064687, type:0, wire:40
x:141.13015732139377, y:-263.6078915022032, type:0, wire:47
x:233.92403385357784, y:-165.95232502363615, type:1, wire:101
x:408.79407416143573, y:-238.47628975914108, type:0, wire:31
x:-443.08492278362314, y:386.88965123473963, type:0, wire:55
IND:2
#fitness: 	(0.995, 840.0, 25999.79331181583)
AP:75
x:284.34232483624356, y:316.8641463831291, type:0, wire:13
x:-148.96951068293654, y:367.111888116183, type:0, wire:75
x:283.83293897072645, y:-348.74605472202427, type:0, wire:40
x:-22.5624566943261, y:-405.79310121046524, type:0, wire:58
x:475.98159773052805, y:-95.11905846456807, type:0, wire:34
x:265.6191085172717, y:-143.21911285509626, type:1, wire:6
x:-195.4422689075891, y:-244.74868972243763, type:0, wire:21
x:-179.51197814529445, y:-165.2736441917382, type:0, wire:47
x:-38.632297536316024, y:385.70680806399423, type:0, wire:47
x:412.0594237480958, y:-294.7894648304998, type:0, wire:6
x:130.4034689855281, y:142.82442632919435, type:1, wire:38
x:-161.26842575980294, y:55.70725499345583, type:0, wire:6
x:-36.63915535487216, y:-60.41774549425929, type:0, wire:73
x:-96.60432130689185, y:-165.68322166463312, type:0, wire:47
x:-292.7489888637516, y:157.65628418111638, type:0, wire:21
x:356.1765380383221, y:-47.59135554418545, type:0, wire:98
x:-437.7087348996531, y:-50.923062898859484, type:0, wire:25
x:227.6606045834627, y:-15.233271797194952, type:0, wire:101
x:112.09859462409912, y:-228.16112348852937, type:1, wire:40
x:-80.05714277836853, y:423.6211708932761, type:0, wire:101
x:-182.7152484399753, y:139.83279295137243, type:0, wire:34
x:-21.6749482276579, y:75.10681696077297, type:0, wire:47
x:-407.66843473417043, y:-211.02144687972373, type:1, wire:73
x:24.17814367979941, y:229.72750005049136, type:0, wire:101
x:72.11026626813636, y:32.11378193806156, type:1, wire:40
x:-110.13199984057522, y:112.14652810134868, type:0, wire:37
x:224.50771125267286, y:417.9986162645371, type:1, wire:21
x:337.39098363925547, y:130.4682710261582, type:0, wire:47
x:210.99614027374048, y:328.4620404077872, type:0, wire:81
x:-382.6335667875571, y:236.76933856146485, type:1, wire:70
x:-231.54322462411577, y:300.799531086545, type:0, wire:6
x:-294.61876317045017, y:-215.9479755184011, type:0, wire:63
x:92.96723576976537, y:277.9989076612006, type:1, wire:4
x:197.49738039711974, y:-6.415355735043363, type:1, wire:34
x:453.7338805792119, y:-73.32196572760756, type:0, wire:97
x:-235.32497861310776, y:234.5251509209537, type:0, wire:40
x:398.9511496403684, y:-286.12584151798234, type:0, wire:4
x:-400.4977222061068, y:227.37328798052525, type:1, wire:101
x:60.801154192353145, y:42.79615615067519, type:0, wire:40
x:-258.3298473777269, y:443.746359815308, type:0, wire:101
x:-414.7986512801075, y:-447.8400030624763, type:1, wire:93
x:66.02419731229396, y:23.541527346611883, type:0, wire:32
x:-218.12600560350805, y:24.834815276898244, type:0, wire:93
x:194.1712450741364, y:308.23580809841195, type:0, wire:93
x:-119.09914743386241, y:-480.5888612748198, type:0, wire:4
x:-299.23400024808166, y:-138.49659822402396, type:1, wire:63
x:450.5138418095642, y:106.4775616884989, type:1, wire:71
x:401.8412087780606, y:326.99046900290455, type:0, wire:34
x:-298.58418956866694, y:-251.0252895719475, type:1, wire:6
x:-411.20213931162823, y:364.59093427245557, type:0, wire:47
x:323.9257405905418, y:121.51353250349541, type:0, wire:40
x:-368.07655246923105, y:-243.32201157373427, type:0, wire:63
x:379.40516517964727, y:93.99123636999428, type:0, wire:33
x:243.3469199976598, y:153.29578668642995, type:0, wire:40
x:244.65677106914433, y:-219.4554817602813, type:0, wire:40
x:172.08712420613082, y:-309.82157217440795, type:0, wire:98
x:215.75151305767446, y:104.20021130185992, type:0, wire:18
x:205.21587503289672, y:-356.8771333703173, type:1, wire:71
x:377.5840612482808, y:-120.11171163334836, type:0, wire:4
x:30.411492756138855, y:145.24029720308783, type:0, wire:21
x:279.3222131982109, y:42.294303923671436, type:0, wire:98
x:-308.0812780052866, y:-209.05519885256174, type:0, wire:101
x:-466.0705590024679, y:242.85598335816707, type:1, wire:6
x:-97.12984941602417, y:190.81606465529455, type:1, wire:22
x:-106.04815714615816, y:332.35665313833226, type:0, wire:93
x:141.3400892922447, y:-325.1643450734334, type:0, wire:39
x:-403.85657310052056, y:-75.5271291815618, type:0, wire:3
x:-258.56722219065796, y:-128.00981933265498, type:0, wire:93
x:-438.0886319546314, y:79.15926609424072, type:0, wire:47
x:-464.2217515798465, y:6.803804328735396, type:0, wire:39
x:64.43009078606357, y:108.25884974361242, type:0, wire:47
x:148.27642245854577, y:95.03896876064687, type:0, wire:40
x:143.9860625748745, y:-270.20112261296276, type:0, wire:40
x:234.1186139283621, y:-158.89832201063598, type:1, wire:77
x:407.77671646794454, y:-253.68062342102402, type:0, wire:31
IND:3
#fitness: 	(0.995, 840.0, 25999.79331181583)
AP:75
x:284.34232483624356, y:316.8641463831291, type:0, wire:13
x:-148.96951068293654, y:367.111888116183, type:0, wire:75
x:283.83293897072645, y:-348.74605472202427, type:0, wire:40
x:-22.5624566943261, y:-405.79310121046524, type:0, wire:58
x:475.98159773052805, y:-95.11905846456807, type:0, wire:34
x:265.6191085172717, y:-143.21911285509626, type:1, wire:6
x:-195.4422689075891, y:-244.74868972243763, type:0, wire:21
x:-179.51197814529445, y:-165.2736441917382, type:0, wire:47
x:-38.632297536316024, y:385.70680806399423, type:0, wire:47
x:412.0594237480958, y:-294.7894648304998, type:0, wire:6
x:130.4034689855281, y:142.82442632919435, type:1, wire:38
x:-161.26842575980294, y:55.70725499345583, type:0, wire:6
x:-36.63915535487216, y:-60.41774549425929, type:0, wire:73
x:-96.60432130689185, y:-165.68322166463312, type:0, wire:47
x:-292.7489888637516, y:157.65628418111638, type:0, wire:21
x:356.1765380383221, y:-47.59135554418545, type:0, wire:98
x:-437.7087348996531, y:-50.923062898859484, type:0, wire:25
x:227.6606045834627, y:-15.233271797194952, type:0, wire:101
x:112.09859462409912, y:-228.16112348852937, type:1, wire:40
x:-80.05714277836853, y:423.6211708932761, type:0, wire:101
x:-182.7152484399753, y:139.83279295137243, type:0, wire:34
x:-21.6749482276579, y:75.10681696077297, type:0, wire:47
x:-407.66843473417043, y:-211.02144687972373, type:1, wire:73
x:24.17814367979941, y:229.72750005049136, type:0, wire:101
x:72.11026626813636, y:32.11378193806156, type:1, wire:40
x:-110.13199984057522, y:112.14652810134868, type:0, wire:37
x:224.50771125267286, y:417.9986162645371, type:1, wire:21
x:337.39098363925547, y:130.4682710261582, type:0, wire:47
x:210.99614027374048, y:328.4620404077872, type:0, wire:81
x:-382.6335667875571, y:236.76933856146485, type:1, wire:70
x:-231.54322462411577, y:300.799531086545, type:0, wire:6
x:-294.61876317045017, y:-215.9479755184011, type:0, wire:63
x:92.96723576976537, y:277.9989076612006, type:1, wire:4
x:197.49738039711974, y:-6.415355735043363, type:1, wire:34
x:453.7338805792119, y:-73.32196572760756, type:0, wire:97
x:-235.32497861310776, y:234.5251509209537, type:0, wire:40
x:398.9511496403684, y:-286.12584151798234, type:0, wire:4
x:-400.4977222061068, y:227.37328798052525, type:1, wire:101
x:60.801154192353145, y:42.79615615067519, type:0, wire:40
x:-258.3298473777269, y:443.746359815308, type:0, wire:101
x:-414.7986512801075, y:-447.8400030624763, type:1, wire:93
x:66.02419731229396, y:23.541527346611883, type:0, wire:32
x:-218.12600560350805, y:24.834815276898244, type:0, wire:93
x:194.1712450741364, y:308.23580809841195, type:0, wire:93
x:-119.09914743386241, y:-480.5888612748198, type:0, wire:4
x:-299.23400024808166, y:-138.49659822402396, type:1, wire:63
x:450.5138418095642, y:106.4775616884989, type:1, wire:71
x:401.8412087780606, y:326.99046900290455, type:0, wire:34
x:-298.58418956866694, y:-251.0252895719475, type:1, wire:6
x:-411.20213931162823, y:364.59093427245557, type:0, wire:47
x:323.9257405905418, y:121.51353250349541, type:0, wire:40
x:-368.07655246923105, y:-243.32201157373427, type:0, wire:63
x:379.40516517964727, y:93.99123636999428, type:0, wire:33
x:243.3469199976598, y:153.29578668642995, type:0, wire:40
x:244.65677106914433, y:-219.4554817602813, type:0, wire:40
x:172.08712420613082, y:-309.82157217440795, type:0, wire:98
x:215.75151305767446, y:104.20021130185992, type:0, wire:18
x:205.21587503289672, y:-356.8771333703173, type:1, wire:71
x:377.5840612482808, y:-120.11171163334836, type:0, wire:4
x:30.411492756138855, y:145.24029720308783, type:0, wire:21
x:279.3222131982109, y:42.294303923671436, type:0, wire:98
x:-308.0812780052866, y:-209.05519885256174, type:0, wire:101
x:-466.0705590024679, y:242.85598335816707, type:1, wire:6
x:-97.12984941602417, y:190.81606465529455, type:1, wire:22
x:-106.04815714615816, y:332.35665313833226, type:0, wire:93
x:141.3400892922447, y:-325.1643450734334, type:0, wire:39
x:-403.85657310052056, y:-75.5271291815618, type:0, wire:3
x:-258.56722219065796, y:-128.00981933265498, type:0, wire:93
x:-438.0886319546314, y:79.15926609424072, type:0, wire:47
x:-464.2217515798465, y:6.803804328735396, type:0, wire:39
x:64.43009078606357, y:108.25884974361242, type:0, wire:47
x:148.27642245854577, y:95.03896876064687, type:0, wire:40
x:143.9860625748745, y:-270.20112261296276, type:0, wire:40
x:234.1186139283621, y:-158.89832201063598, type:1, wire:77
x:407.77671646794454, y:-253.68062342102402, type:0, wire:31
IND:4
#fitness: 	(0.995, 875.0, 25550.321725016358)
AP:75
x:284.34232483624356, y:316.8641463831291, type:0, wire:13
x:-148.96951068293654, y:367.111888116183, type:0, wire:75
x:283.83293897072645, y:-348.74605472202427, type:0, wire:40
x:-22.5624566943261, y:-405.79310121046524, type:1, wire:58
x:475.98159773052805, y:-95.11905846456807, type:0, wire:34
x:265.6191085172717, y:-143.21911285509626, type:1, wire:6
x:-186.36305022603125, y:-244.74868972243763, type:0, wire:21
x:-179.51197814529445, y:-165.2736441917382, type:0, wire:47
x:-38.632297536316024, y:385.70680806399423, type:0, wire:47
x:412.0594237480958, y:-294.7894648304998, type:0, wire:6
x:130.4034689855281, y:142.82442632919435, type:1, wire:38
x:-161.26842575980294, y:55.70725499345583, type:1, wire:6
x:-36.63915535487216, y:-60.41774549425929, type:0, wire:73
x:-96.60432130689185, y:-165.68322166463312, type:0, wire:47
x:-292.7489888637516, y:157.65628418111638, type:0, wire:21
x:356.1765380383221, y:-41.380495048399766, type:0, wire:98
x:-429.1681356446423, y:-50.923062898859484, type:0, wire:25
x:227.6606045834627, y:-15.233271797194952, type:0, wire:101
x:112.09859462409912, y:-228.16112348852937, type:1, wire:40
x:-80.05714277836853, y:423.6211708932761, type:0, wire:101
x:-182.7152484399753, y:139.83279295137243, type:0, wire:81
x:-21.6749482276579, y:75.10681696077297, type:0, wire:47
x:-407.66843473417043, y:-211.02144687972373, type:1, wire:73
x:24.17814367979941, y:229.72750005049136, type:0, wire:101
x:72.11026626813636, y:32.11378193806156, type:1, wire:40
x:-103.55548645452109, y:112.14652810134868, type:0, wire:37
x:224.50771125267286, y:421.49155598369435, type:1, wire:21
x:337.39098363925547, y:130.4682710261582, type:0, wire:47
x:210.99614027374048, y:328.4620404077872, type:0, wire:101
x:-382.6335667875571, y:236.76933856146485, type:1, wire:70
x:-231.54322462411577, y:300.799531086545, type:1, wire:6
x:-301.1157221569938, y:-215.9479755184011, type:0, wire:63
x:92.96723576976537, y:277.9989076612006, type:1, wire:4
x:197.49738039711974, y:-6.415355735043363, type:1, wire:34
x:453.7338805792119, y:-73.32196572760756, type:0, wire:97
x:-230.31013539132834, y:234.5251509209537, type:0, wire:40
x:398.9511496403684, y:-286.12584151798234, type:0, wire:4
x:-400.4977222061068, y:227.37328798052525, type:1, wire:101
x:60.801154192353145, y:42.79615615067519, type:0, wire:40
x:-258.3298473777269, y:443.746359815308, type:0, wire:101
x:-414.7986512801075, y:-447.8400030624763, type:1, wire:93
x:66.02419731229396, y:23.541527346611883, type:0, wire:32
x:-218.12600560350805, y:24.834815276898244, type:0, wire:93
x:197.49488073687564, y:308.23580809841195, type:0, wire:93
x:-119.09914743386241, y:-480.5888612748198, type:0, wire:4
x:-293.73535144201963, y:-138.49659822402396, type:1, wire:6
