
################################ SETTINGS ###################################
#RUN ID: 1529519249.0195754
#Genetic Algorithm Parameters:
#Max gen: 		300
#Migrations Interval: 	50	with 2% migrating individual
#N Islands:	6 with pop size:	100
#INDPB:	0.07
#Tournament size:	 5
#CXPB:	0.5	MUTPB:	0.2
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(0.995, 880.0)AP:71
x:73.57719447492897, y:19.743728018620267, type:1, wire:68
x:13.828736593780867, y:-178.98763298373768, type:0, wire:101
x:-213.12861341107146, y:-34.61994416797802, type:0, wire:61
x:394.7392729272144, y:-177.4823007704249, type:1, wire:95
x:413.41606379326345, y:195.00798574015053, type:0, wire:46
x:-233.65891704446028, y:-109.43141096069019, type:0, wire:31
x:-70.45931616546761, y:408.1444485900685, type:0, wire:32
IND:4
#fitness: 	(0.99, 665.0)AP:55
x:126.71642344320475, y:-25.732074589799367, type:0, wire:33
x:378.02196124916367, y:25.215755705994013, type:0, wire:39
x:-303.6522673903347, y:-273.5935468974404, type:1, wire:33
x:44.87211166672523, y:161.97646481707585, type:1, wire:54
x:-334.996997039543, y:-179.27824777689816, type:1, wire:1
x:478.24366584065956, y:496.74960120484434, type:0, wire:52
x:259.8584771949898, y:39.37384587962003, type:0, wire:46
x:275.18514458912756, y:-434.39706711561223, type:0, wire:3
x:441.4795182719329, y:-309.16996524522773, type:0, wire:30
x:48.271977364644044, y:-404.8700807077571, type:1, wire:64
x:259.8309541109326, y:-260.51481697046046, type:1, wire:23
x:-377.04646423764177, y:-10.778891902298437, type:0, wire:19
x:-32.81916183638703, y:109.72958913674489, type:1, wire:49
x:-283.46205785972177, y:424.41271313573316, type:0, wire:17
x:-120.06956470227335, y:24.599709261427062, type:0, wire:31
x:24.108933410068268, y:454.7872849300346, type:0, wire:91
x:239.09723143359116, y:468.9693255760841, type:0, wire:27
x:306.26731832992346, y:-288.9657769878727, type:0, wire:10
x:-168.38258724553316, y:36.54962650172193, type:0, wire:74
x:282.4531442485874, y:-492.26153492487276, type:0, wire:10
x:-70.80120859075896, y:442.9077781879298, type:0, wire:27
x:-443.3505761332526, y:-153.55926242690273, type:0, wire:57
x:-388.0256873955726, y:-281.34753072539274, type:1, wire:92
x:-473.60352486209865, y:-462.4017459457168, type:0, wire:3
x:194.54856980916824, y:349.49892211653207, type:1, wire:75
x:182.48018590361494, y:131.0795893385229, type:1, wire:52
x:-46.59616800445224, y:162.6824418431303, type:1, wire:19
x:297.15599325397716, y:-87.06833649898363, type:1, wire:72
x:-199.61749879633126, y:214.69208099609529, type:0, wire:35
x:105.80174841630054, y:309.80617969556454, type:0, wire:91
