gen	nevals	avg                            	std                            	min                	max                
61 	160   	[  0.85593333 767.71666667]    	[4.85880186e-02 6.18131840e+01]	[  0.67 585.  ]    	[  0.935 905.   ]  
62 	155   	[  0.85681667 769.06666667]    	[5.12179954e-02 6.86121628e+01]	[  0.64 555.  ]    	[  0.935 915.   ]  
63 	176   	[  0.85796667 766.95      ]    	[5.11878783e-02 6.45286564e+01]	[  0.605 585.   ]  	[9.4e-01 9.5e+02]  
64 	177   	[  0.86451667 772.68333333]    	[4.37113607e-02 6.05781841e+01]	[  0.725 600.   ]  	[9.4e-01 9.5e+02]  
65 	182   	[  0.86216667 765.53333333]    	[4.72455171e-02 6.35666230e+01]	[  0.67 585.  ]    	[  0.94 905.  ]    
66 	174   	[  0.86273333 770.        ]    	[4.66639999e-02 6.40559651e+01]	[  0.62 595.  ]    	[  0.94 935.  ]    
67 	170   	[  0.86563333 778.55      ]    	[4.72785951e-02 6.59480667e+01]	[  0.645 595.   ]  	[  0.94 935.  ]    
68 	171   	[  0.86468333 779.35      ]    	[5.10112705e-02 6.61185362e+01]	[  0.69 560.  ]    	[  0.94 935.  ]    
69 	164   	[  0.86801667 782.46666667]    	[4.74884167e-02 6.68424682e+01]	[  0.695 550.   ]  	[  0.94 935.  ]    
70 	179   	[  0.86753333 781.08333333]    	[5.38199054e-02 6.52041133e+01]	[  0.625 565.   ]  	[  0.94 935.  ]    
71 	163   	[  0.86595    776.51666667]    	[4.98816683e-02 6.65027547e+01]	[  0.68 590.  ]    	[  0.94 920.  ]    
72 	176   	[  0.8645 770.7   ]            	[5.18177897e-02 6.91713573e+01]	[  0.68 575.  ]    	[  0.94 905.  ]    
73 	157   	[  0.87255    777.03333333]    	[5.01123488e-02 6.00655105e+01]	[  0.615 590.   ]  	[  0.94 885.  ]    
74 	177   	[  0.8733     771.71666667]    	[4.41109586e-02 6.72827595e+01]	[  0.695 580.   ]  	[  0.94 905.  ]    
75 	191   	[  0.87023333 769.11666667]    	[4.73315845e-02 6.95039787e+01]	[  0.645 580.   ]  	[  0.94 925.  ]    
76 	168   	[  0.87323333 772.1       ]    	[4.40762093e-02 6.78485323e+01]	[  0.675 550.   ]  	[  0.94 925.  ]    
77 	185   	[  0.86741667 765.33333333]    	[4.92501410e-02 7.06002046e+01]	[  0.6 540. ]      	[  0.94 920.  ]    
78 	177   	[  0.86466667 758.95      ]    	[4.89699454e-02 7.17819441e+01]	[  0.625 500.   ]  	[  0.94 920.  ]    
79 	172   	[  0.86941667 766.78333333]    	[4.48970272e-02 6.75714663e+01]	[  0.655 560.   ]  	[  0.94 920.  ]    
80 	172   	[  0.87528333 772.35      ]    	[4.45758124e-02 6.99146682e+01]	[  0.655 485.   ]  	[  0.94 920.  ]    
81 	165   	[  0.87376667 775.28333333]    	[5.14342190e-02 7.27415726e+01]	[  0.63 535.  ]    	[  0.94 910.  ]    
82 	194   	[  0.86955    771.51666667]    	[5.13294668e-02 7.16713545e+01]	[  0.625 570.   ]  	[  0.94 915.  ]    
83 	172   	[  0.8733     774.01666667]    	[4.96884628e-02 7.15922462e+01]	[  0.665 565.   ]  	[  0.95 915.  ]    
84 	169   	[  0.87651667 778.25      ]    	[4.59323748e-02 6.92376644e+01]	[  0.69 550.  ]    	[  0.95 945.  ]    
85 	184   	[  0.8798     779.78333333]    	[4.72453878e-02 7.08369234e+01]	[  0.625 525.   ]  	[  0.955 945.   ]  
86 	162   	[  0.88261667 781.48333333]    	[4.33540047e-02 6.94469802e+01]	[  0.735 585.   ]  	[  0.95 945.  ]    
87 	170   	[  0.88021667 778.21666667]    	[4.77601967e-02 7.02986704e+01]	[  0.715 595.   ]  	[  0.95 945.  ]    
88 	183   	[  0.87723333 779.18333333]    	[5.28489567e-02 7.38054857e+01]	[  0.685 560.   ]  	[  0.95 945.  ]    
89 	174   	[  0.87778333 779.1       ]    	[4.92747710e-02 7.18425825e+01]	[  0.69 560.  ]    	[  0.95 945.  ]    
90 	189   	[  0.87406667 776.71666667]    	[5.57296650e-02 7.39288152e+01]	[  0.64 585.  ]    	[  0.945 945.   ]  
91 	187   	[  0.87678333 780.23333333]    	[5.19333200e-02 7.13672116e+01]	[  0.695 565.   ]  	[9.50e-01 9.95e+02]
92 	178   	[  0.87276667 776.1       ]    	[5.51619938e-02 7.46299091e+01]	[  0.675 565.   ]  	[  0.95 930.  ]    
93 	162   	[  0.8756     780.71666667]    	[4.89384648e-02 6.73540624e+01]	[  0.665 575.   ]  	[  0.95 950.  ]    
94 	186   	[  0.8753     774.51666667]    	[4.70876134e-02 6.79596674e+01]	[  0.705 555.   ]  	[  0.95 940.  ]    
95 	196   	[  0.87128333 770.6       ]    	[5.38464148e-02 6.89538976e+01]	[  0.705 565.   ]  	[  0.95 940.  ]    
96 	157   	[  0.88081667 781.23333333]    	[5.17340931e-02 6.80010703e+01]	[  0.66 505.  ]    	[  0.95 920.  ]    
97 	190   	[  0.88038333 780.96666667]    	[5.54566172e-02 6.93510314e+01]	[  0.69 570.  ]    	[  0.95 920.  ]    
98 	173   	[  0.885 783.3  ]              	[5.08117440e-02 6.70493102e+01]	[  0.695 625.   ]  	[  0.95 920.  ]    
99 	178   	[  0.88348333 779.18333333]    	[5.85728867e-02 7.19264651e+01]	[  0.615 570.   ]  	[  0.96 920.  ]    
100	187   	[  0.88561667 779.46666667]    	[5.11520908e-02 7.03305213e+01]	[  0.7 570. ]      	[  0.96 935.  ]    
101	170   	[  0.88678333 777.16666667]    	[5.57216570e-02 7.27711405e+01]	[  0.66 580.  ]    	[  0.96 935.  ]    
102	160   	[  0.88926667 783.93333333]    	[5.21612457e-02 6.29512686e+01]	[  0.725 630.   ]  	[  0.96 935.  ]    
103	170   	[  0.89413333 788.36666667]    	[5.16454150e-02 6.56607358e+01]	[  0.68 535.  ]    	[  0.96 915.  ]    
104	197   	[  0.89303333 787.25      ]    	[5.13822170e-02 7.01357315e+01]	[  0.71 590.  ]    	[  0.96 930.  ]    
105	162   	[  0.89375    790.13333333]    	[5.21825721e-02 7.02126453e+01]	[  0.725 605.   ]  	[  0.965 960.   ]  
106	177   	[  0.88931667 780.95      ]    	[5.73450061e-02 7.51388548e+01]	[  0.69 580.  ]    	[  0.965 960.   ]  
107	169   	[  0.88966667 780.9       ]    	[5.29328715e-02 7.21851093e+01]	[  0.705 595.   ]  	[  0.965 950.   ]  
108	176   	[  0.88663333 779.13333333]    	[5.78590145e-02 7.31169079e+01]	[  0.61 595.  ]    	[  0.965 950.   ]  
109	170   	[  0.89036667 784.85      ]    	[5.45499669e-02 7.38933522e+01]	[  0.72 575.  ]    	[9.65e-01 9.95e+02]
110	182   	[  0.89325    785.13333333]    	[5.35274462e-02 7.23600872e+01]	[  0.695 515.   ]  	[  0.965 935.   ]  
111	160   	[  0.89858333 793.86666667]    	[5.69070270e-02 7.57785077e+01]	[  0.635 580.   ]  	[  0.965 940.   ]  
112	162   	[  0.90071667 796.65      ]    	[5.5583898e-02 7.4688425e+01]  	[  0.695 550.   ]  	[  0.965 935.   ]  
113	174   	[  0.90106667 801.9       ]    	[5.55580377e-02 7.31315481e+01]	[  0.72 570.  ]    	[  0.965 940.   ]  
114	168   	[  0.90435    802.96666667]    	[5.86585671e-02 7.76436232e+01]	[  0.61 470.  ]    	[  0.97 945.  ]    
115	183   	[  0.90018333 801.75      ]    	[5.67851188e-02 7.04723646e+01]	[  0.65 620.  ]    	[  0.97 930.  ]    
116	167   	[  0.89786667 800.3       ]    	[5.61778327e-02 7.09453546e+01]	[  0.66 610.  ]    	[  0.97 930.  ]    
117	179   	[  0.90296667 802.56666667]    	[5.45239906e-02 7.02275745e+01]	[  0.635 610.   ]  	[  0.97 945.  ]    
118	185   	[  0.90343333 805.03333333]    	[5.78738187e-02 7.18841584e+01]	[  0.715 615.   ]  	[  0.97 945.  ]    
119	163   	[  0.9062     804.93333333]    	[5.43650623e-02 6.90023832e+01]	[  0.64 545.  ]    	[  0.97 950.  ]    
120	169   	[  0.90566667 798.75      ]    	[6.01100842e-02 7.17648068e+01]	[  0.64 600.  ]    	[  0.97 925.  ]    
121	159   	[  0.91303333 807.01666667]    	[5.40104825e-02 6.92821506e+01]	[  0.69 625.  ]    	[  0.97 925.  ]    
