
################################ SETTINGS ###################################
#RUN ID: 1529778533.3549898
#Genetic Algorithm Parameters:
#Max gen: 		700
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:20
IND:0
#fitness: 	(1.0, 635.0, 16270.1368932858)
AP:100
x:-125.37234929765523, y:200.1531410132666, type:0, wire:73
x:83.25032942335348, y:34.38564392104726, type:1, wire:23
x:-294.0709245235818, y:-343.9580132613369, type:0, wire:54
x:-417.7766138975547, y:-230.29528441843647, type:1, wire:58
x:-344.8064956774134, y:-230.10083971734844, type:1, wire:7
x:87.80199037032604, y:269.3045021466425, type:0, wire:49
x:442.4736612423825, y:-203.85846286127338, type:0, wire:88
x:392.12614809578696, y:-267.7749081212286, type:0, wire:98
x:-469.2275121277967, y:-271.0699826968614, type:0, wire:92
x:-310.7675047113208, y:-493.9516517446184, type:0, wire:100
x:-51.69996367418693, y:317.8025949121792, type:0, wire:20
x:229.5587138606544, y:322.3773778643696, type:0, wire:18
x:-468.273162030801, y:-361.9816325854425, type:0, wire:87
x:4.97190138689127, y:477.5296113207278, type:0, wire:39
x:260.17103929931665, y:-103.6196536476163, type:0, wire:20
x:-30.469533210314594, y:226.7003765123638, type:1, wire:20
x:-505.85520787349714, y:-305.5495463413554, type:0, wire:55
x:-216.98814554543716, y:142.17301816282713, type:1, wire:26
x:-205.80469298302887, y:-69.99141837566256, type:0, wire:18
x:-468.39264533250275, y:-137.50467901580188, type:0, wire:83
x:94.9889012883694, y:278.93639453870844, type:1, wire:39
x:-51.41107718632328, y:188.83619515199945, type:1, wire:55
x:-362.2104783636593, y:470.345254467187, type:1, wire:80
x:-91.52542830715588, y:-240.17074782815567, type:0, wire:100
x:-268.92934734707114, y:40.88947285242239, type:1, wire:55
x:-273.8422975973828, y:474.8205778584489, type:0, wire:0
x:-433.2907339661748, y:270.31598039167307, type:0, wire:39
x:-10.75483571980984, y:-53.92990439034779, type:0, wire:14
x:-271.9146983972034, y:-69.07669974632277, type:0, wire:19
x:120.11386206566601, y:300.0191870418684, type:0, wire:3
x:-425.3262172888059, y:-338.0457685789408, type:1, wire:100
x:279.0038447449227, y:-171.20279967052812, type:0, wire:44
x:-468.97274875345073, y:312.8841024983423, type:0, wire:101
x:171.45915884019132, y:-27.0997682413693, type:0, wire:101
x:-434.4559437129876, y:24.613760563949235, type:1, wire:75
x:-393.8831883366652, y:236.80292381401154, type:1, wire:18
x:-194.22570172387447, y:-238.67951230323703, type:1, wire:6
x:-382.9265909922771, y:-103.47664456929488, type:0, wire:88
x:419.83167684003826, y:480.72078010103894, type:0, wire:59
x:166.1271974737736, y:-311.63317811761607, type:1, wire:63
x:-4.6560919845160065, y:-132.80516681122538, type:1, wire:55
x:-388.65283110541054, y:252.54253898346897, type:0, wire:39
x:180.58233995672282, y:-150.36225334604956, type:0, wire:26
x:-249.07687511685438, y:-454.7539239091344, type:0, wire:73
x:-436.8456300169219, y:160.52656233773948, type:0, wire:43
x:-124.5158152402472, y:-142.83076095138446, type:1, wire:50
x:270.8658003864726, y:36.53864529314592, type:1, wire:18
x:-114.77212452809779, y:42.458804038933906, type:1, wire:9
